0, 0, 0, 0, 0.1, 0
0.05, 0.005, 0, 0, 0.1, 0
0.1, 0.01, 0, 0, 0.1, 0
0.15, 0.015, 0, 0, 0.1, 0
0.2, 0.02, 0, 0, 0.1, 0
0.25, 0.025, 0, 0, 0.1, 0
0.3, 0.03, 0, 0, 0.1, 0
0.35, 0.035, 0, 0, 0.1, 0
0.4, 0.04, 0, 0, 0.1, 0
0.45, 0.045, 0, 0, 0.1, 0
0.5, 0.05, 0, 0, 0.1, 0
0.55, 0.055, 0, 0, 0.1, 0
0.6, 0.06, 0, 0, 0.1, 0
0.65, 0.065, 0, 0, 0.1, 0
0.7, 0.07, 0, 0, 0.1, 0
0.75, 0.075, 0, 0, 0.1, 0
0.8, 0.08, 0, 0, 0.1, 0
0.85, 0.085, 0, 0, 0.1, 0
0.9, 0.09, 0, 0, 0.1, 0
0.95, 0.095, 0, 0, 0.1, 0
1, 0.1, 0, 0, 0.1, 0
1.05, 0.105, 0, 0, 0.1, 0
1.1, 0.11, 0, 0, 0.1, 0
1.15, 0.115, 0, 0, 0.1, 0
1.2, 0.12, 0, 0, 0.1, 0
1.25, 0.125, 0, 0, 0.1, 0
1.3, 0.13, 0, 0, 0.1, 0
1.35, 0.135, 0, 0, 0.1, 0
1.4, 0.14, 0, 0, 0.1, 0
1.45, 0.145, 0, 0, 0.1, 0
1.5, 0.15, 0, 0, 0.1, 0
1.55, 0.155, 0, 0, 0.1, 0
1.6, 0.16, 0, 0, 0.1, 0
1.65, 0.165, 0, 0, 0.1, 0
1.7, 0.17, 0, 0, 0.1, 0
1.75, 0.175, 0, 0, 0.1, 0
1.8, 0.18, 0, 0, 0.1, 0
1.85, 0.185, 0, 0, 0.1, 0
1.9, 0.19, 0, 0, 0.1, 0
1.95, 0.195, 0, 0, 0.1, 0
2, 0.2, 0, 0, 0.1, 0
2.05, 0.205, 0, 0, 0.1, 0
2.1, 0.21, 0, 0, 0.1, 0
2.15, 0.215, 0, 0, 0.1, 0
2.2, 0.22, 0, 0, 0.1, 0
2.25, 0.225, 0, 0, 0.1, 0
2.3, 0.23, 0, 0, 0.1, 0
2.35, 0.235, 0, 0, 0.1, 0
2.4, 0.24, 0, 0, 0.1, 0
2.45, 0.245, 0, 0, 0.1, 0
2.5, 0.25, 0, 0, 0.1, 0
2.55, 0.255, 0, 0, 0.1, 0
2.6, 0.26, 0, 0, 0.1, 0
2.65, 0.265, 0, 0, 0.1, 0
2.7, 0.27, 0, 0, 0.1, 0
2.75, 0.275, 0, 0, 0.1, 0
2.8, 0.28, 0, 0, 0.1, 0
2.85, 0.285, 0, 0, 0.1, 0
2.9, 0.29, 0, 0, 0.1, 0
2.95, 0.295, 0, 0, 0.1, 0
3, 0.3, 0, 0, 0.1, 0
3.05, 0.305, 0, 0, 0.1, 0
3.1, 0.31, 0, 0, 0.1, 0
3.15, 0.315, 0, 0, 0.1, 0
3.2, 0.32, 0, 0, 0.1, 0
3.25, 0.325, 0, 0, 0.1, 0
3.3, 0.33, 0, 0, 0.1, 0
3.35, 0.335, 0, 0, 0.1, 0
3.4, 0.34, 0, 0, 0.1, 0
3.45, 0.345, 0, 0, 0.1, 0
3.5, 0.35, 0, 0, 0.1, 0
3.55, 0.355, 0, 0, 0.1, 0
